,threshold,accuracy,sensitivity,specificity,ppv,npv
24,0.25,0.5528781793842035,0.9040767386091128,0.10909090909090909,0.5618479880774963,0.47368421052631576
25,0.26,0.5542168674698795,0.9040767386091128,0.11212121212121212,0.5626865671641791,0.4805194805194805
26,0.27,0.5609103078982597,0.9040767386091128,0.12727272727272726,0.5669172932330827,0.5121951219512195
27,0.28,0.5649263721552878,0.9040767386091128,0.13636363636363635,0.5694864048338368,0.5294117647058824
28,0.29000000000000004,0.5662650602409639,0.8992805755395683,0.14545454545454545,0.5707762557077626,0.5333333333333333
29,0.3,0.5676037483266398,0.8968824940047961,0.15151515151515152,0.5718654434250765,0.5376344086021505
30,0.31,0.570281124497992,0.8968824940047961,0.15757575757575756,0.5736196319018405,0.5473684210526316
31,0.32,0.5756358768406962,0.8968824940047961,0.1696969696969697,0.5771604938271605,0.5656565656565656
32,0.33,0.5769745649263721,0.894484412470024,0.17575757575757575,0.5782945736434109,0.5686274509803921
33,0.34,0.5809906291834003,0.8920863309352518,0.18787878787878787,0.58125,0.5794392523364486
34,0.35000000000000003,0.5876840696117804,0.8920863309352518,0.20303030303030303,0.5858267716535434,0.5982142857142857
35,0.36000000000000004,0.5903614457831325,0.8872901678657075,0.21515151515151515,0.5882352941176471,0.6016949152542372
36,0.37,0.5903614457831325,0.882494004796163,0.22121212121212122,0.5888,0.5983606557377049
37,0.38,0.5903614457831325,0.8800959232613909,0.22424242424242424,0.5890850722311396,0.5967741935483871
38,0.39,0.5876840696117804,0.8752997601918465,0.22424242424242424,0.5877616747181964,0.5873015873015873
39,0.4,0.5876840696117804,0.8705035971223022,0.23030303030303031,0.5883306320907618,0.5846153846153846
40,0.41000000000000003,0.5890227576974565,0.86810551558753,0.23636363636363636,0.5895765472312704,0.5864661654135338
41,0.42000000000000004,0.5863453815261044,0.8633093525179856,0.23636363636363636,0.5882352941176471,0.5777777777777777
42,0.43,0.5957161981258366,0.8609112709832134,0.2606060606060606,0.5953565505804311,0.5972222222222222
43,0.44,0.5997322623828648,0.8561151079136691,0.27575757575757576,0.5989932885906041,0.6026490066225165
44,0.45,0.6091030789825971,0.8561151079136691,0.296969696969697,0.6061120543293718,0.620253164556962
45,0.46,0.6144578313253012,0.8537170263788969,0.31212121212121213,0.6106346483704974,0.6280487804878049
46,0.47000000000000003,0.6144578313253012,0.841726618705036,0.32727272727272727,0.612565445026178,0.6206896551724138
47,0.48000000000000004,0.6251673360107095,0.829736211031175,0.36666666666666664,0.6234234234234234,0.6302083333333334
48,0.49,0.6465863453815262,0.8081534772182254,0.44242424242424244,0.6468330134357005,0.6460176991150443
49,0.5,0.6720214190093708,0.7889688249400479,0.5242424242424243,0.676954732510288,0.6628352490421456
50,0.51,0.6800535475234271,0.7649880095923262,0.5727272727272728,0.6934782608695652,0.6585365853658537
51,0.52,0.6947791164658634,0.7577937649880095,0.6151515151515151,0.7133182844243793,0.6677631578947368
52,0.53,0.6733601070950469,0.7050359712230215,0.6333333333333333,0.708433734939759,0.6295180722891566
53,0.54,0.6666666666666666,0.6762589928057554,0.6545454545454545,0.7121212121212122,0.6153846153846154
54,0.55,0.6693440428380187,0.6594724220623501,0.6818181818181818,0.7236842105263158,0.6130790190735694
55,0.56,0.6680053547523427,0.645083932853717,0.696969696969697,0.7289972899728997,0.6084656084656085
56,0.5700000000000001,0.6653279785809906,0.6258992805755396,0.7151515151515152,0.7352112676056338,0.6020408163265306
57,0.5800000000000001,0.6653279785809906,0.6067146282973621,0.7393939393939394,0.7463126843657817,0.5980392156862745
58,0.59,0.6706827309236948,0.6019184652278178,0.7575757575757576,0.7583081570996979,0.6009615384615384
59,0.6,0.6693440428380187,0.5899280575539568,0.7696969696969697,0.7639751552795031,0.5976470588235294
60,0.61,0.6760374832663989,0.5875299760191847,0.7878787878787878,0.7777777777777778,0.6018518518518519
61,0.62,0.6760374832663989,0.5827338129496403,0.793939393939394,0.7813504823151125,0.6009174311926605
