,threshold,accuracy,sensitivity,specificity,ppv,npv
60,0.61,0.48695652173913045,0.265625,0.7647058823529411,0.5862068965517241,0.45348837209302323
61,0.62,0.48695652173913045,0.265625,0.7647058823529411,0.5862068965517241,0.45348837209302323
62,0.63,0.4782608695652174,0.25,0.7647058823529411,0.5714285714285714,0.4482758620689655
63,0.64,0.4782608695652174,0.25,0.7647058823529411,0.5714285714285714,0.4482758620689655
64,0.65,0.4782608695652174,0.25,0.7647058823529411,0.5714285714285714,0.4482758620689655
65,0.66,0.46956521739130436,0.234375,0.7647058823529411,0.5555555555555556,0.4431818181818182
66,0.67,0.46956521739130436,0.234375,0.7647058823529411,0.5555555555555556,0.4431818181818182
67,0.68,0.46956521739130436,0.234375,0.7647058823529411,0.5555555555555556,0.4431818181818182
68,0.6900000000000001,0.46956521739130436,0.234375,0.7647058823529411,0.5555555555555556,0.4431818181818182
69,0.7000000000000001,0.45217391304347826,0.203125,0.7647058823529411,0.52,0.43333333333333335
70,0.7100000000000001,0.4434782608695652,0.1875,0.7647058823529411,0.5,0.42857142857142855
71,0.72,0.4434782608695652,0.1875,0.7647058823529411,0.5,0.42857142857142855
72,0.73,0.4434782608695652,0.1875,0.7647058823529411,0.5,0.42857142857142855
73,0.74,0.4434782608695652,0.1875,0.7647058823529411,0.5,0.42857142857142855
74,0.75,0.4434782608695652,0.1875,0.7647058823529411,0.5,0.42857142857142855
75,0.76,0.4434782608695652,0.1875,0.7647058823529411,0.5,0.42857142857142855
76,0.77,0.43478260869565216,0.171875,0.7647058823529411,0.4782608695652174,0.42391304347826086
77,0.78,0.43478260869565216,0.171875,0.7647058823529411,0.4782608695652174,0.42391304347826086
78,0.79,0.43478260869565216,0.171875,0.7647058823529411,0.4782608695652174,0.42391304347826086
79,0.8,0.43478260869565216,0.171875,0.7647058823529411,0.4782608695652174,0.42391304347826086
80,0.81,0.43478260869565216,0.171875,0.7647058823529411,0.4782608695652174,0.42391304347826086
81,0.8200000000000001,0.43478260869565216,0.171875,0.7647058823529411,0.4782608695652174,0.42391304347826086
82,0.8300000000000001,0.43478260869565216,0.171875,0.7647058823529411,0.4782608695652174,0.42391304347826086
83,0.8400000000000001,0.43478260869565216,0.171875,0.7647058823529411,0.4782608695652174,0.42391304347826086
84,0.85,0.43478260869565216,0.171875,0.7647058823529411,0.4782608695652174,0.42391304347826086
85,0.86,0.43478260869565216,0.171875,0.7647058823529411,0.4782608695652174,0.42391304347826086
86,0.87,0.43478260869565216,0.171875,0.7647058823529411,0.4782608695652174,0.42391304347826086
87,0.88,0.4260869565217391,0.15625,0.7647058823529411,0.45454545454545453,0.41935483870967744
88,0.89,0.4260869565217391,0.15625,0.7647058823529411,0.45454545454545453,0.41935483870967744
89,0.9,0.4260869565217391,0.15625,0.7647058823529411,0.45454545454545453,0.41935483870967744
90,0.91,0.4260869565217391,0.15625,0.7647058823529411,0.45454545454545453,0.41935483870967744
91,0.92,0.4260869565217391,0.15625,0.7647058823529411,0.45454545454545453,0.41935483870967744
92,0.93,0.43478260869565216,0.15625,0.7843137254901961,0.47619047619047616,0.425531914893617
